1.1 SUMMARY NORMAL
1.2 INFO This is INFO
1.3 LASTLOG rack 6, port 8, changed to ON
1.4 SUBSYSTEM SHL
1.5 SERIALNO 2
1.6 VERSION shl_mcs.py
2.1.1 PORTS-AVAILABLE-R1 8
2.1.2.1 PWR-R1-1 ON
2.1.2.2 PWR-R1-2 ON
2.1.2.3 PWR-R1-3 ON
2.1.2.4 PWR-R1-4 ON
2.1.2.5 PWR-R1-5 ON
2.1.2.6 PWR-R1-6 ON
2.1.2.7 PWR-R1-7 ON
2.1.2.8 PWR-R1-8 ON
2.1.3 CURRENT-R1 14.0
2.2.1 PORTS-AVAILABLE-R2 8
2.2.2.1 PWR-R2-1 ON
2.2.2.2 PWR-R2-2 ON
2.2.2.3 PWR-R2-3 ON
2.2.2.4 PWR-R2-4 ON
2.2.2.5 PWR-R2-5 ON
2.2.2.6 PWR-R2-6 ON
2.2.2.7 PWR-R2-7 ON
2.2.2.8 PWR-R2-8 ON
2.2.3 CURRENT-R2 1.0
2.3.1 PORTS-AVAILABLE-R3 8
2.3.2.1 PWR-R3-1 ON
2.3.2.2 PWR-R3-2 ON
2.3.2.3 PWR-R3-3 ON
2.3.2.4 PWR-R3-4 ON
2.3.2.5 PWR-R3-5 ON
2.3.2.6 PWR-R3-6 ON
2.3.2.7 PWR-R3-7 ON
2.3.2.8 PWR-R3-8 ON
2.3.3 CURRENT-R3 16.0
2.4.1 PORTS-AVAILABLE-R4 8
2.4.2.1 PWR-R4-1 ON
2.4.2.2 PWR-R4-2 ON
2.4.2.3 PWR-R4-3 ON
2.4.2.4 PWR-R4-4 ON
2.4.2.5 PWR-R4-5 ON
2.4.2.6 PWR-R4-6 ON
2.4.2.7 PWR-R4-7 ON
2.4.2.8 PWR-R4-8 ON
2.4.3 CURRENT-R4 8.0
2.5.1 PORTS-AVAILABLE-R5 8
2.5.2.1 PWR-R5-1 ON
2.5.2.2 PWR-R5-2 ON
2.5.2.3 PWR-R5-3 ON
2.5.2.4 PWR-R5-4 ON
2.5.2.5 PWR-R5-5 ON
2.5.2.6 PWR-R5-6 ON
2.5.2.7 PWR-R5-7 ON
2.5.2.8 PWR-R5-8 ON
2.5.3 CURRENT-R5 6.0
2.6.1 PORTS-AVAILABLE-R6 8
2.6.2.1 PWR-R6-1 ON
2.6.2.2 PWR-R6-2 ON
2.6.2.3 PWR-R6-3 ON
2.6.2.4 PWR-R6-4 ON
2.6.2.5 PWR-R6-5 ON
2.6.2.6 PWR-R6-6 ON
2.6.2.7 PWR-R6-7 ON
2.6.2.8 PWR-R6-8 OFF
2.6.3 CURRENT-R6 0
3.1 SET-POINT 00072
3.2 DIFFERENTIAL 1.0
3.3 TEMPERATURE 88.52
